arret_id,trajet_id,heure_depart,stop_sequence,terminus
20907,2342323,794,1,0
21041,2342323,795,2,0
21000,2342323,796,3,0
21002,2342323,798,4,0
20853,2342323,800,5,1
20907,2342322,731,1,0
21041,2342322,732,2,0
21000,2342322,733,3,0
21002,2342322,735,4,0
20853,2342322,737,5,1
20907,2342325,914,1,0
21041,2342325,915,2,0
21000,2342325,916,3,0
21002,2342325,918,4,0
20853,2342325,920,5,1
20907,2342324,851,1,0
21041,2342324,852,2,0
21000,2342324,853,3,0
21002,2342324,855,4,0
20853,2342324,857,5,1
20907,2342321,670,1,0
21041,2342321,671,2,0
21000,2342321,672,3,0
21002,2342321,674,4,0
20853,2342321,676,5,1
20907,2342320,610,1,0
21041,2342320,611,2,0
21000,2342320,612,3,0
21002,2342320,614,4,0
20853,2342320,616,5,1
20907,2342327,1034,1,0
21041,2342327,1035,2,0
21000,2342327,1036,3,0
21002,2342327,1038,4,0
20853,2342327,1040,5,1
20907,2342326,974,1,0
21041,2342326,975,2,0
21000,2342326,976,3,0
21002,2342326,978,4,0
20853,2342326,980,5,1
20907,2342329,1155,1,0
21041,2342329,1156,2,0
21000,2342329,1157,3,0
21002,2342329,1159,4,0
20853,2342329,1161,5,1
20907,2342328,1094,1,0
21041,2342328,1095,2,0
21000,2342328,1096,3,0
21002,2342328,1098,4,0
20853,2342328,1100,5,1
20852,2342336,1145,1,0
21003,2342336,1146,2,0
21001,2342336,1148,3,0
21042,2342336,1149,4,0
20907,2342336,1151,5,1
20852,2342335,1065,1,0
21003,2342335,1066,2,0
21001,2342335,1068,3,0
21042,2342335,1069,4,0
20907,2342335,1071,5,1
20852,2342334,964,1,0
21003,2342334,965,2,0
21001,2342334,967,3,0
21042,2342334,968,4,0
20907,2342334,970,5,1
20852,2342333,865,1,0
21003,2342333,866,2,0
21001,2342333,868,3,0
21042,2342333,869,4,0
20907,2342333,871,5,1
20852,2342332,760,1,0
21003,2342332,761,2,0
21001,2342332,763,3,0
