arret_id,trajet_id,heure_depart,stop_sequence,terminus
20906,2383791,1148,1,0
20904,2383791,1149,2,0
20902,2383791,1151,3,0
21004,2383791,1152,4,0
21082,2383791,1153,5,0
20900,2383791,1155,6,0
20063,2383791,1156,7,0
20065,2383791,1158,8,0
20072,2383791,1161,9,1
20906,2383790,1037,1,0
20904,2383790,1038,2,0
20902,2383790,1040,3,0
21004,2383790,1041,4,0
21082,2383790,1042,5,0
20900,2383790,1044,6,0
20063,2383790,1045,7,0
20065,2383790,1047,8,0
20072,2383790,1050,9,1
20073,2383770,876,1,0
20066,2383770,878,2,0
20064,2383770,880,3,0
20901,2383770,882,4,0
21083,2383770,883,5,0
21005,2383770,884,6,0
20903,2383770,886,7,0
20905,2383770,887,8,0
20906,2383770,889,9,1
20073,2383771,938,1,0
20066,2383771,940,2,0
20064,2383771,942,3,0
20901,2383771,944,4,0
21083,2383771,945,5,0
21005,2383771,946,6,0
20903,2383771,948,7,0
20905,2383771,949,8,0
20906,2383771,951,9,1
20073,2383772,1117,1,0
20066,2383772,1119,2,0
20064,2383772,1121,3,0
20901,2383772,1123,4,0
21083,2383772,1124,5,0
21005,2383772,1125,6,0
20903,2383772,1127,7,0
20905,2383772,1128,8,0
20906,2383772,1130,9,1
20073,2383773,1176,1,0
20066,2383773,1178,2,0
20064,2383773,1180,3,0
20901,2383773,1182,4,0
21083,2383773,1183,5,0
21005,2383773,1184,6,0
20903,2383773,1186,7,0
20905,2383773,1187,8,0
20906,2383773,1189,9,1
20073,2383774,1249,1,0
20066,2383774,1251,2,0
20064,2383774,1253,3,0
20901,2383774,1255,4,0
21083,2383774,1256,5,0
21005,2383774,1257,6,0
20903,2383774,1259,7,0
20905,2383774,1260,8,0
20906,2383774,1262,9,1
20073,2383775,1000,1,0
20066,2383775,1002,2,0
20064,2383775,1004,3,0
20901,2383775,1006,4,0
21083,2383775,1007,5,0
21005,2383775,1008,6,0
20903,2383775,1010,7,0
20905,2383775,1011,8,0
20906,2383775,1013,9,1
20073,2383776,1058,1,0
20066,2383776,1060,2,0
20064,2383776,1062,3,0
20901,2383776,1064,4,0
21083,2383776,1065,5,0
21005,2383776,1066,6,0
20903,2383776,1068,7,0
20905,2383776,1069,8,0
20906,2383776,1071,9,1
20073,2383777,520,1,0
20066,2383777,522,2,0
20064,2383777,524,3,0
20901,2383777,526,4,0
21083,2383777,527,5,0
21005,2383777,528,6,0
20903,2383777,530,7,0
20905,2383777,531,8,0
20906,2383777,533,9,1
20073,2383778,620,1,0
20066,2383778,622,2,0
20064,2383778,624,3,0
20901,2383778,626,4,0
21083,2383778,627,5,0
21005,2383778,628,6,0
20903,2383778,630,7,0
20905,2383778,631,8,0
20906,2383778,633,9,1
20073,2383779,720,1,0
20066,2383779,722,2,0
20064,2383779,724,3,0
20901,2383779,726,4,0
21083,2383779,727,5,0
21005,2383779,728,6,0
20903,2383779,730,7,0
20905,2383779,731,8,0
20906,2383779,733,9,1
20073,2383780,816,1,0
20066,2383780,818,2,0
20064,2383780,820,3,0
20901,2383780,822,4,0
21083,2383780,823,5,0
21005,2383780,824,6,0
20903,2383780,826,7,0
20905,2383780,827,8,0
20906,2383780,829,9,1
20073,2383783,1120,1,0
20066,2383783,1122,2,0
20064,2383783,1124,3,0
20901,2383783,1126,4,0
21083,2383783,1127,5,0
21005,2383783,1128,6,0
20903,2383783,1130,7,0
20905,2383783,1131,8,0
20906,2383783,1133,9,1
20073,2383784,1204,1,0
20066,2383784,1206,2,0
20064,2383784,1208,3,0
20901,2383784,1210,4,0
21083,2383784,1211,5,0
21005,2383784,1212,6,0
20903,2383784,1214,7,0
20905,2383784,1215,8,0
20906,2383784,1217,9,1
20073,2383781,917,1,0
20066,2383781,919,2,0
20064,2383781,921,3,0
20901,2383781,923,4,0
21083,2383781,924,5,0
21005,2383781,925,6,0
20903,2383781,927,7,0
20905,2383781,928,8,0
20906,2383781,930,9,1
20073,2383782,1018,1,0
20066,2383782,1020,2,0
20064,2383782,1022,3,0
20901,2383782,1024,4,0
21083,2383782,1025,5,0
21005,2383782,1026,6,0
20903,2383782,1028,7,0
20905,2383782,1029,8,0
20906,2383782,1031,9,1
20906,2383787,754,1,0
20904,2383787,755,2,0
20902,2383787,757,3,0
21004,2383787,758,4,0
21082,2383787,759,5,0
20900,2383787,761,6,0
20063,2383787,762,7,0
20065,2383787,764,8,0
20072,2383787,767,9,1
20906,2383788,836,1,0
20904,2383788,837,2,0
20902,2383788,839,3,0
21004,2383788,840,4,0
21082,2383788,841,5,0
20900,2383788,843,6,0
20063,2383788,844,7,0
20065,2383788,846,8,0
20072,2383788,849,9,1
20906,2383785,557,1,0
20904,2383785,558,2,0
20902,2383785,560,3,0
21004,2383785,561,4,0
21082,2383785,562,5,0
20900,2383785,564,6,0
20063,2383785,565,7,0
20065,2383785,567,8,0
20072,2383785,570,9,1
20906,2383786,657,1,0
20904,2383786,658,2,0
20902,2383786,660,3,0
21004,2383786,661,4,0
21082,2383786,662,5,0
20900,2383786,664,6,0
20063,2383786,665,7,0
20065,2383786,667,8,0
20072,2383786,670,9,1
20906,2383789,935,1,0
20904,2383789,936,2,0
20902,2383789,938,3,0
21004,2383789,939,4,0
21082,2383789,940,5,0
20900,2383789,942,6,0
20063,2383789,943,7,0
20065,2383789,945,8,0
20072,2383789,948,9,1
20906,2383750,491,1,0
20904,2383750,492,2,0
20902,2383750,494,3,0
21004,2383750,495,4,0
21082,2383750,496,5,0
20900,2383750,498,6,0
20063,2383750,499,7,0
20065,2383750,501,8,0
20072,2383750,504,9,1
20906,2383751,552,1,0
20904,2383751,553,2,0
20902,2383751,555,3,0
21004,2383751,556,4,0
21082,2383751,557,5,0
20900,2383751,559,6,0
20063,2383751,560,7,0
20065,2383751,562,8,0
20072,2383751,565,9,1
20906,2383756,841,1,0
20904,2383756,842,2,0
20902,2383756,844,3,0
21004,2383756,845,4,0
21082,2383756,846,5,0
20900,2383756,848,6,0
20063,2383756,849,7,0
20065,2383756,851,8,0
20072,2383756,854,9,1
20906,2383757,904,1,0
20904,2383757,905,2,0
20902,2383757,907,3,0
21004,2383757,908,4,0
21082,2383757,909,5,0
20900,2383757,911,6,0
20063,2383757,912,7,0
20065,2383757,914,8,0
20072,2383757,917,9,1
20906,2383758,964,1,0
20904,2383758,965,2,0
20902,2383758,967,3,0
21004,2383758,968,4,0
21082,2383758,969,5,0
20900,2383758,971,6,0
20063,2383758,972,7,0
20065,2383758,974,8,0
20072,2383758,977,9,1
20906,2383759,1024,1,0
20904,2383759,1025,2,0
20902,2383759,1027,3,0
21004,2383759,1028,4,0
21082,2383759,1029,5,0
20900,2383759,1031,6,0
