arretId,correspondanceId,distance
20035,20037,187
20035,20034,83
20035,20032,163
20035,10013,42
20649,20647,198
20649,20420,146
20649,20421,137
20649,10332,0
20649,10210,124
20036,20039,154
20036,20545,168
20036,10014,100
20646,20647,19
20646,20420,140
20646,10331,9
20033,20032,175
20033,20287,188
20033,10012,88
20647,20649,198
20647,20646,19
20647,20420,149
20647,10331,10
20647,10332,198
20034,20037,107
20034,20035,83
20034,10013,41
20644,20645,33
20644,20667,193
20644,10330,17
20031,20030,29
20031,10011,14
20645,20644,33
20645,10330,17
20032,20035,163
20032,20033,175
20032,10012,88
20263,20262,86
20263,20264,88
20263,20278,155
20263,10360,193
20263,10129,63
20263,20704,194
20263,20705,194
20263,20707,99
20458,21077,45
20458,20380,140
20458,10187,94
20262,20263,86
20262,20264,78
20262,10129,33
20262,20707,15
20265,20266,127
20265,20250,117
20265,10130,64
20265,10122,117
20264,20263,88
20264,20262,78
20264,10360,167
20264,10129,51
20264,20704,162
20264,20705,174
20264,20707,77
20459,20449,188
20459,20106,26
20459,10230,13
20267,20266,186
20267,20268,36
20267,10131,18
20061,20025,99
20061,20013,157
20061,20752,143
20061,10008,105
20061,10027,0
20266,20265,127
20266,20267,186
20266,10130,64
20269,20268,174
20269,20270,111
20269,10131,191
20269,10132,55
20063,20064,29
20063,10030,14
20063,20854,188
20268,20267,36
20268,20269,174
20268,10131,18
20450,20445,190
20450,20451,108
20450,10226,54
20450,10223,190
20452,20453,17
20452,10227,9
20452,20098,181
20452,20097,166
20451,20449,160
20451,20450,108
20451,10225,181
20451,10226,54
10087,10086,174
10087,20181,19
10087,20178,191
10087,21162,19
10087,21161,161
20454,10228,0
20453,20452,17
20453,10227,8
20453,20098,191
20453,20097,178
10088,20636,194
10088,10086,168
10088,20182,0
10088,20178,196
10088,21161,141
10089,20184,19
10089,20185,19
10084,20174,85
10084,20175,59
10084,21160,30
20931,20932,18
20931,10480,9
10083,10050,174
10083,20173,4
10083,20172,4
10083,20171,164
10083,20075,185
10086,20636,116
10086,10087,174
10086,10088,168
10086,10326,161
10086,20182,168
10086,20181,163
10086,20178,30
10086,21162,187
10086,21161,30
20933,20934,13
20933,10481,6
10085,20176,33
10085,20177,33
20932,20931,18
20932,10480,9
10080,20163,11
10080,20164,12
20935,10482,0
20652,20653,111
20652,10334,0
20652,10335,111
20934,20933,13
20934,10481,6
20653,20652,111
20653,10334,111
20653,10335,0
10082,20065,153
10082,20066,112
10082,10031,131
10082,20104,0
20937,20936,13
20937,10483,6
20654,20655,72
20654,10336,36
10081,20240,181
10081,20239,198
10081,20238,30
10081,10114,30
10081,10115,189
10081,10636,0
10081,20103,0
10081,21245,0
20936,20937,13
20936,10483,7
20655,20654,72
20655,10336,36
20064,20063,29
20064,10030,14
20656,20657,41
20656,10337,20
20065,10082,153
20065,20066,54
20065,10031,27
20065,20104,153
20657,20656,41
20657,10337,21
20066,10082,112
20066,20065,54
20066,10031,27
20066,20104,112
20658,20439,171
20658,20438,112
20658,20659,72
20658,10338,36
20658,10219,141
20067,10066,190
20067,10032,19
20067,20148,37
20067,20139,195
20067,20134,158
20659,20438,177
20659,20658,72
20659,10338,36
20068,10067,0
20069,10033,34
20069,20070,68
20260,20261,19
20260,10128,9
20261,20260,19
20261,10128,9
20254,20253,42
20254,10125,21
20253,20254,42
20253,10125,21
20252,20251,163
20252,20255,20
20252,10123,163
20252,10124,10
20469,20468,19
20469,20467,189
20469,20466,170
20469,20388,58
20469,10191,58
20469,10235,10
