arret_id,trajet_id,heure_depart,stop_sequence,terminus
21075,29,1160,1,0
20013,29,1163,2,0
20752,29,1164,3,0
20061,29,1165,4,0
20737,29,1167,5,0
20735,29,1168,6,0
20740,29,1169,7,0
20741,29,1170,8,0
21079,29,1171,9,0
20668,29,1173,10,1
20668,78,432,1,0
20716,78,433,2,0
20717,78,435,3,0
20718,78,435,4,0
20719,78,436,5,0
20734,78,437,6,0
20736,78,438,7,0
20025,78,439,8,0
20014,78,442,9,0
21075,78,445,10,1
20668,65,640,1,0
20716,65,641,2,0
20717,65,643,3,0
20718,65,643,4,0
20719,65,644,5,0
20734,65,645,6,0
20736,65,646,7,0
20025,65,647,8,0
20014,65,650,9,0
21075,65,653,10,1
21075,98,936,1,0
20013,98,939,2,0
20752,98,940,3,0
20061,98,941,4,0
20737,98,943,5,0
20735,98,944,6,0
20740,98,945,7,0
20741,98,946,8,0
21079,98,947,9,0
20668,98,949,10,1
21075,96,776,1,0
20013,96,779,2,0
20752,96,780,3,0
20061,96,781,4,0
20737,96,783,5,0
20735,96,784,6,0
20740,96,785,7,0
20741,96,786,8,0
21079,96,787,9,0
20668,96,789,10,1
20668,90,512,1,0
20716,90,514,2,0
20717,90,515,3,0
20718,90,515,4,0
20719,90,516,5,0
20734,90,517,6,0
20736,90,518,7,0
20025,90,520,8,0
20014,90,522,9,0
21075,90,525,10,1
21075,3285,496,1,0
20013,3285,499,2,0
20752,3285,500,3,0
20061,3285,501,4,0
20737,3285,503,5,0
20735,3285,504,6,0
20740,3285,505,7,0
20741,3285,506,8,0
21079,3285,507,9,0
20668,3285,509,10,1
21075,3299,648,1,0
20013,3299,651,2,0
20752,3299,652,3,0
20061,3299,653,4,0
20737,3299,655,5,0
20735,3299,656,6,0
20740,3299,657,7,0
20741,3299,658,8,0
21079,3299,659,9,0
20668,3299,661,10,1
21075,2110,672,1,0
20013,2110,675,2,0
20752,2110,676,3,0
20061,2110,677,4,0
20737,2110,679,5,0
20735,2110,680,6,0
20740,2110,681,7,0
20741,2110,682,8,0
21079,2110,683,9,0
20668,2110,685,10,1
20668,3243,936,1,0
20716,3243,937,2,0
20717,3243,939,3,0
20718,3243,939,4,0
20719,3243,940,5,0
20734,3243,941,6,0
20736,3243,942,7,0
20025,3243,943,8,0
20014,3243,946,9,0
21075,3243,949,10,1
20668,3266,432,1,0
20716,3266,434,2,0
20717,3266,435,3,0
20718,3266,435,4,0
20719,3266,436,5,0
20734,3266,437,6,0
20736,3266,438,7,0
20025,3266,440,8,0
20014,3266,442,9,0
21075,3266,445,10,1
20668,2161,1152,1,0
20716,2161,1154,2,0
20717,2161,1155,3,0
20718,2161,1155,4,0
20719,2161,1156,5,0
20734,2161,1157,6,0
20736,2161,1158,7,0
20025,2161,1160,8,0
20014,2161,1162,9,0
21075,2161,1165,10,1
20668,2162,808,1,0
20716,2162,810,2,0
20717,2162,811,3,0
20718,2162,811,4,0
20719,2162,812,5,0
20734,2162,813,6,0
20736,2162,814,7,0
20025,2162,816,8,0
20014,2162,818,9,0
21075,2162,821,10,1
20668,3215,952,1,0
20716,3215,954,2,0
20717,3215,955,3,0
20718,3215,955,4,0
20719,3215,956,5,0
20734,3215,957,6,0
20736,3215,958,7,0
20025,3215,960,8,0
20014,3215,962,9,0
21075,3215,965,10,1
20668,2169,1072,1,0
20716,2169,1073,2,0
20717,2169,1075,3,0
20718,2169,1075,4,0
20719,2169,1076,5,0
20734,2169,1077,6,0
20736,2169,1078,7,0
20025,2169,1079,8,0
20014,2169,1082,9,0
21075,2169,1085,10,1
20668,3229,632,1,0
20716,3229,633,2,0
20717,3229,635,3,0
20718,3229,635,4,0
20719,3229,636,5,0
20734,3229,637,6,0
20736,3229,638,7,0
20025,3229,639,8,0
20014,3229,642,9,0
21075,3229,645,10,1
20668,3232,680,1,0
20716,3232,681,2,0
20717,3232,683,3,0
20718,3232,683,4,0
20719,3232,684,5,0
20734,3232,685,6,0
20736,3232,686,7,0
20025,3232,687,8,0
20014,3232,690,9,0
21075,3232,693,10,1
21075,2194,520,1,0
20013,2194,523,2,0
20752,2194,524,3,0
20061,2194,525,4,0
20737,2194,527,5,0
20735,2194,528,6,0
20740,2194,529,7,0
20741,2194,530,8,0
21079,2194,531,9,0
20668,2194,533,10,1
20668,2197,1112,1,0
20716,2197,1113,2,0
20717,2197,1115,3,0
20718,2197,1115,4,0
20719,2197,1116,5,0
20734,2197,1117,6,0
20736,2197,1118,7,0
20025,2197,1119,8,0
20014,2197,1122,9,0
21075,2197,1125,10,1
20668,2203,1112,1,0
20716,2203,1114,2,0
20717,2203,1115,3,0
20718,2203,1115,4,0
20719,2203,1116,5,0
20734,2203,1117,6,0
20736,2203,1118,7,0
20025,2203,1120,8,0
20014,2203,1122,9,0
21075,2203,1125,10,1
21075,2215,960,1,0
20013,2215,963,2,0
20752,2215,964,3,0
20061,2215,965,4,0
20737,2215,967,5,0
20735,2215,968,6,0
20740,2215,969,7,0
20741,2215,970,8,0
21079,2215,971,9,0
20668,2215,973,10,1
20668,3378,656,1,0
20716,3378,658,2,0
20717,3378,659,3,0
20718,3378,659,4,0
20719,3378,660,5,0
20734,3378,661,6,0
20736,3378,662,7,0
20025,3378,664,8,0
20014,3378,666,9,0
21075,3378,669,10,1
20668,3395,576,1,0
20716,3395,578,2,0
20717,3395,579,3,0
20718,3395,579,4,0
20719,3395,580,5,0
20734,3395,581,6,0
20736,3395,582,7,0
20025,3395,584,8,0
20014,3395,586,9,0
21075,3395,589,10,1
20668,2223,968,1,0
20716,2223,970,2,0
20717,2223,971,3,0
20718,2223,971,4,0
20719,2223,972,5,0
20734,2223,973,6,0
20736,2223,974,7,0
20025,2223,976,8,0
20014,2223,978,9,0
21075,2223,981,10,1
21075,2229,1088,1,0
20013,2229,1091,2,0
20752,2229,1092,3,0
20061,2229,1093,4,0
20737,2229,1095,5,0
20735,2229,1096,6,0
20740,2229,1097,7,0
20741,2229,1098,8,0
21079,2229,1099,9,0
20668,2229,1101,10,1
20668,3373,560,1,0
20716,3373,562,2,0
20717,3373,563,3,0
20718,3373,563,4,0
20719,3373,564,5,0
20734,3373,565,6,0
20736,3373,566,7,0
20025,3373,568,8,0
20014,3373,570,9,0
21075,3373,573,10,1
20668,3368,528,1,0
20716,3368,529,2,0
20717,3368,531,3,0
20718,3368,531,4,0
20719,3368,532,5,0
20734,3368,533,6,0
20736,3368,534,7,0
20025,3368,535,8,0
20014,3368,538,9,0
21075,3368,541,10,1
21075,3337,576,1,0
20013,3337,579,2,0
20752,3337,580,3,0
20061,3337,581,4,0
20737,3337,583,5,0
20735,3337,584,6,0
20740,3337,585,7,0
20741,3337,586,8,0
21079,3337,587,9,0
20668,3337,589,10,1
20668,3338,704,1,0
20716,3338,706,2,0
20717,3338,707,3,0
20718,3338,707,4,0
20719,3338,708,5,0
20734,3338,709,6,0
20736,3338,710,7,0
20025,3338,712,8,0
20014,3338,714,9,0
21075,3338,717,10,1
21075,3345,864,1,0
20013,3345,867,2,0
20752,3345,868,3,0
20061,3345,869,4,0
20737,3345,871,5,0
20735,3345,872,6,0
20740,3345,873,7,0
20741,3345,874,8,0
21079,3345,875,9,0
20668,3345,877,10,1
21075,3351,896,1,0
20013,3351,899,2,0
20752,3351,900,3,0
20061,3351,901,4,0
20737,3351,903,5,0
20735,3351,904,6,0
20740,3351,905,7,0
20741,3351,906,8,0
21079,3351,907,9,0
20668,3351,909,10,1
21075,3317,1072,1,0
20013,3317,1075,2,0
20752,3317,1076,3,0
20061,3317,1077,4,0
20737,3317,1079,5,0
20735,3317,1080,6,0
20740,3317,1081,7,0
20741,3317,1082,8,0
21079,3317,1083,9,0
20668,3317,1085,10,1
21075,3320,992,1,0
20013,3320,995,2,0
20752,3320,996,3,0
20061,3320,997,4,0
20737,3320,999,5,0
20735,3320,1000,6,0
20740,3320,1001,7,0
20741,3320,1002,8,0
21079,3320,1003,9,0
20668,3320,1005,10,1
20668,3325,864,1,0
20716,3325,865,2,0
20717,3325,867,3,0
20718,3325,867,4,0
20719,3325,868,5,0
20734,3325,869,6,0
20736,3325,870,7,0
20025,3325,871,8,0
20014,3325,874,9,0
21075,3325,877,10,1
20668,3477,776,1,0
20716,3477,777,2,0
20717,3477,779,3,0
20718,3477,779,4,0
20719,3477,780,5,0
20734,3477,781,6,0
20736,3477,782,7,0
20025,3477,783,8,0
20014,3477,786,9,0
21075,3477,789,10,1
20668,3486,608,1,0
20716,3486,609,2,0
20717,3486,611,3,0
20718,3486,611,4,0
20719,3486,612,5,0
20734,3486,613,6,0
20736,3486,614,7,0
20025,3486,615,8,0
20014,3486,618,9,0
21075,3486,621,10,1
20668,3492,552,1,0
20716,3492,554,2,0
20717,3492,555,3,0
20718,3492,555,4,0
20719,3492,556,5,0
20734,3492,557,6,0
20736,3492,558,7,0
20025,3492,560,8,0
20014,3492,562,9,0
21075,3492,565,10,1
20668,3409,848,1,0
20716,3409,850,2,0
20717,3409,851,3,0
20718,3409,851,4,0
20719,3409,852,5,0
20734,3409,853,6,0
20736,3409,854,7,0
20025,3409,856,8,0
20014,3409,858,9,0
21075,3409,861,10,1
21075,3507,504,1,0
20013,3507,507,2,0
20752,3507,508,3,0
20061,3507,509,4,0
20737,3507,511,5,0
20735,3507,512,6,0
20740,3507,513,7,0
20741,3507,514,8,0
21079,3507,515,9,0
20668,3507,517,10,1
21075,2006,488,1,0
20013,2006,491,2,0
20752,2006,492,3,0
20061,2006,493,4,0
20737,2006,495,5,0
20735,2006,496,6,0
20740,2006,497,7,0
20741,2006,498,8,0
21079,2006,499,9,0
20668,2006,501,10,1
21075,2004,904,1,0
20013,2004,907,2,0
20752,2004,908,3,0
20061,2004,909,4,0
20737,2004,911,5,0
20735,2004,912,6,0
20740,2004,913,7,0
20741,2004,914,8,0
21079,2004,915,9,0
20668,2004,917,10,1
20668,2095,800,1,0
20716,2095,801,2,0
20717,2095,803,3,0
20718,2095,803,4,0
20719,2095,804,5,0
20734,2095,805,6,0
20736,2095,806,7,0
20025,2095,807,8,0
20014,2095,810,9,0
21075,2095,813,10,1
21075,3532,568,1,0
20013,3532,571,2,0
20752,3532,572,3,0
20061,3532,573,4,0
20737,3532,575,5,0
20735,3532,576,6,0
20740,3532,577,7,0
20741,3532,578,8,0
21079,3532,579,9,0
20668,3532,581,10,1
20668,3577,616,1,0
20716,3577,617,2,0
20717,3577,619,3,0
20718,3577,619,4,0
20719,3577,620,5,0
20734,3577,621,6,0
20736,3577,622,7,0
20025,3577,623,8,0
20014,3577,626,9,0
21075,3577,629,10,1
20668,2062,928,1,0
20716,2062,930,2,0
20717,2062,931,3,0
20718,2062,931,4,0
20719,2062,932,5,0
20734,2062,933,6,0
20736,2062,934,7,0
20025,2062,936,8,0
20014,2062,938,9,0
21075,2062,941,10,1
20668,2057,712,1,0
20716,2057,714,2,0
20717,2057,715,3,0
20718,2057,715,4,0
20719,2057,716,5,0
20734,2057,717,6,0
20736,2057,718,7,0
20025,2057,720,8,0
20014,2057,722,9,0
21075,2057,725,10,1
21075,3614,792,1,0
20013,3614,795,2,0
20752,3614,796,3,0
20061,3614,797,4,0
20737,3614,799,5,0
20735,3614,800,6,0
20740,3614,801,7,0
20741,3614,802,8,0
21079,3614,803,9,0
20668,3614,805,10,1
21075,3632,1048,1,0
20013,3632,1051,2,0
20752,3632,1052,3,0
20061,3632,1053,4,0
20737,3632,1055,5,0
20735,3632,1056,6,0
20740,3632,1057,7,0
20741,3632,1058,8,0
21079,3632,1059,9,0
20668,3632,1061,10,1
20668,3659,992,1,0
20716,3659,994,2,0
20717,3659,995,3,0
20718,3659,995,4,0
20719,3659,996,5,0
20734,3659,997,6,0
20736,3659,998,7,0
20025,3659,1000,8,0
20014,3659,1002,9,0
21075,3659,1005,10,1
20668,3671,792,1,0
20716,3671,793,2,0
20717,3671,795,3,0
20718,3671,795,4,0
20719,3671,796,5,0
20734,3671,797,6,0
20736,3671,798,7,0
20025,3671,799,8,0
20014,3671,802,9,0
21075,3671,805,10,1
20668,3749,488,1,0
20716,3749,490,2,0
20717,3749,491,3,0
20718,3749,491,4,0
20719,3749,492,5,0
20734,3749,493,6,0
20736,3749,494,7,0
20025,3749,496,8,0
20014,3749,498,9,0
21075,3749,501,10,1
20668,3748,1064,1,0
20716,3748,1065,2,0
20717,3748,1067,3,0
20718,3748,1067,4,0
20719,3748,1068,5,0
20734,3748,1069,6,0
20736,3748,1070,7,0
20025,3748,1071,8,0
20014,3748,1074,9,0
21075,3748,1077,10,1
20668,3707,944,1,0
20716,3707,946,2,0
20717,3707,947,3,0
20718,3707,947,4,0
20719,3707,948,5,0
20734,3707,949,6,0
20736,3707,950,7,0
20025,3707,952,8,0
20014,3707,954,9,0
21075,3707,957,10,1
20668,185,496,1,0
20716,185,498,2,0
20717,185,499,3,0
20718,185,499,4,0
20719,185,500,5,0
20734,185,501,6,0
20736,185,502,7,0
20025,185,504,8,0
20014,185,506,9,0
21075,185,509,10,1
20668,3758,744,1,0
20716,3758,746,2,0
20717,3758,747,3,0
20718,3758,747,4,0
20719,3758,748,5,0
20734,3758,749,6,0
20736,3758,750,7,0
20025,3758,752,8,0
20014,3758,754,9,0
21075,3758,757,10,1
20668,3865,1016,1,0
20716,3865,1017,2,0
20717,3865,1019,3,0
20718,3865,1019,4,0
20719,3865,1020,5,0
20734,3865,1021,6,0
20736,3865,1022,7,0
20025,3865,1023,8,0
20014,3865,1026,9,0
21075,3865,1029,10,1
20668,4982,896,1,0
20716,4982,897,2,0
20717,4982,899,3,0
20718,4982,899,4,0
20719,4982,900,5,0
20734,4982,901,6,0
20736,4982,902,7,0
20025,4982,903,8,0
20014,4982,906,9,0
21075,4982,909,10,1
21075,4975,1064,1,0
20013,4975,1067,2,0
20752,4975,1068,3,0
20061,4975,1069,4,0
20737,4975,1071,5,0
20735,4975,1072,6,0
20740,4975,1073,7,0
20741,4975,1074,8,0
21079,4975,1075,9,0
20668,4975,1077,10,1
20668,3006,520,1,0
20716,3006,522,2,0
20717,3006,523,3,0
20718,3006,523,4,0
20719,3006,524,5,0
20734,3006,525,6,0
20736,3006,526,7,0
20025,3006,528,8,0
20014,3006,530,9,0
21075,3006,533,10,1
20668,3007,448,1,0
20716,3007,449,2,0
20717,3007,451,3,0
20718,3007,451,4,0
20719,3007,452,5,0
20734,3007,453,6,0
20736,3007,454,7,0
20025,3007,455,8,0
20014,3007,458,9,0
21075,3007,461,10,1
21075,3000,544,1,0
20013,3000,547,2,0
20752,3000,548,3,0
20061,3000,549,4,0
20737,3000,551,5,0
20735,3000,552,6,0
20740,3000,553,7,0
20741,3000,554,8,0
21079,3000,555,9,0
20668,3000,557,10,1
20668,3894,1024,1,0
20716,3894,1026,2,0
20717,3894,1027,3,0
20718,3894,1027,4,0
20719,3894,1028,5,0
20734,3894,1029,6,0
20736,3894,1030,7,0
20025,3894,1032,8,0
20014,3894,1034,9,0
21075,3894,1037,10,1
21075,3021,1104,1,0
20013,3021,1107,2,0
20752,3021,1108,3,0
20061,3021,1109,4,0
20737,3021,1111,5,0
20735,3021,1112,6,0
20740,3021,1113,7,0
20741,3021,1114,8,0
21079,3021,1115,9,0
20668,3021,1117,10,1
20668,3064,576,1,0
20716,3064,577,2,0
20717,3064,579,3,0
20718,3064,579,4,0
20719,3064,580,5,0
20734,3064,581,6,0
20736,3064,582,7,0
20025,3064,583,8,0
20014,3064,586,9,0
21075,3064,589,10,1
20668,3085,816,1,0
20716,3085,818,2,0
20717,3085,819,3,0
20718,3085,819,4,0
20719,3085,820,5,0
20734,3085,821,6,0
20736,3085,822,7,0
20025,3085,824,8,0
20014,3085,826,9,0
21075,3085,829,10,1
20668,3928,440,1,0
20716,3928,442,2,0
20717,3928,443,3,0
20718,3928,443,4,0
20719,3928,444,5,0
20734,3928,445,6,0
20736,3928,446,7,0
20025,3928,448,8,0
20014,3928,450,9,0
21075,3928,453,10,1
21075,3927,840,1,0
20013,3927,843,2,0
20752,3927,844,3,0
20061,3927,845,4,0
20737,3927,847,5,0
20735,3927,848,6,0
20740,3927,849,7,0
20741,3927,850,8,0
21079,3927,851,9,0
20668,3927,853,10,1
20668,3918,456,1,0
20716,3918,458,2,0
20717,3918,459,3,0
20718,3918,459,4,0
20719,3918,460,5,0
20734,3918,461,6,0
20736,3918,462,7,0
20025,3918,464,8,0
20014,3918,466,9,0
21075,3918,469,10,1
21075,3935,1168,1,0
20013,3935,1171,2,0
20752,3935,1172,3,0
20061,3935,1173,4,0
20737,3935,1175,5,0
20735,3935,1176,6,0
20740,3935,1177,7,0
20741,3935,1178,8,0
21079,3935,1179,9,0
20668,3935,1181,10,1
21075,3930,736,1,0
20013,3930,739,2,0
20752,3930,740,3,0
20061,3930,741,4,0
20737,3930,743,5,0
20735,3930,744,6,0
20740,3930,745,7,0
20741,3930,746,8,0
21079,3930,747,9,0
20668,3930,749,10,1
20668,3933,824,1,0
20716,3933,826,2,0
20717,3933,827,3,0
20718,3933,827,4,0
20719,3933,828,5,0
20734,3933,829,6,0
20736,3933,830,7,0
20025,3933,832,8,0
20014,3933,834,9,0
21075,3933,837,10,1
20668,3970,864,1,0
20716,3970,866,2,0
20717,3970,867,3,0
20718,3970,867,4,0
20719,3970,868,5,0
20734,3970,869,6,0
20736,3970,870,7,0
20025,3970,872,8,0
20014,3970,874,9,0
21075,3970,877,10,1
20668,3951,1056,1,0
20716,3951,1057,2,0
20717,3951,1059,3,0
20718,3951,1059,4,0
20719,3951,1060,5,0
20734,3951,1061,6,0
20736,3951,1062,7,0
20025,3951,1063,8,0
20014,3951,1066,9,0
21075,3951,1069,10,1
21075,3988,1016,1,0
20013,3988,1019,2,0
20752,3988,1020,3,0
20061,3988,1021,4,0
20737,3988,1023,5,0
20735,3988,1024,6,0
20740,3988,1025,7,0
20741,3988,1026,8,0
21079,3988,1027,9,0
20668,3988,1029,10,1
20668,3974,968,1,0
20716,3974,969,2,0
20717,3974,971,3,0
20718,3974,971,4,0
20719,3974,972,5,0
20734,3974,973,6,0
20736,3974,974,7,0
20025,3974,975,8,0
20014,3974,978,9,0
21075,3974,981,10,1
21075,3995,744,1,0
20013,3995,747,2,0
20752,3995,748,3,0
20061,3995,749,4,0
20737,3995,751,5,0
20735,3995,752,6,0
20740,3995,753,7,0
20741,3995,754,8,0
21079,3995,755,9,0
20668,3995,757,10,1
20668,3134,600,1,0
20716,3134,602,2,0
20717,3134,603,3,0
20718,3134,603,4,0
20719,3134,604,5,0
20734,3134,605,6,0
20736,3134,606,7,0
20025,3134,608,8,0
20014,3134,610,9,0
21075,3134,613,10,1
21075,3113,720,1,0
20013,3113,723,2,0
20752,3113,724,3,0
20061,3113,725,4,0
20737,3113,727,5,0
20735,3113,728,6,0
20740,3113,729,7,0
20741,3113,730,8,0
21079,3113,731,9,0
20668,3113,733,10,1
20668,3192,624,1,0
20716,3192,626,2,0
20717,3192,627,3,0
20718,3192,627,4,0
20719,3192,628,5,0
20734,3192,629,6,0
20736,3192,630,7,0
20025,3192,632,8,0
20014,3192,634,9,0
21075,3192,637,10,1
21075,3187,1152,1,0
20013,3187,1155,2,0
20752,3187,1156,3,0
20061,3187,1157,4,0
20737,3187,1159,5,0
20735,3187,1160,6,0
20740,3187,1161,7,0
20741,3187,1162,8,0
21079,3187,1163,9,0
20668,3187,1165,10,1
20668,3188,464,1,0
20716,3188,465,2,0
20717,3188,467,3,0
20718,3188,467,4,0
20719,3188,468,5,0
20734,3188,469,6,0
20736,3188,470,7,0
20025,3188,471,8,0
20014,3188,474,9,0
21075,3188,477,10,1
20668,3184,920,1,0
20716,3184,921,2,0
20717,3184,923,3,0
20718,3184,923,4,0
20719,3184,924,5,0
20734,3184,925,6,0
20736,3184,926,7,0
