arret_id,trajet_id,heure_depart,stop_sequence,terminus
20011,2395549,1020,1,0
20110,2395549,1024,2,0
21191,2395549,1027,3,0
20295,2395549,1032,4,0
20017,2395549,1032,5,0
20398,2395549,1033,6,0
20400,2395549,1034,7,0
20402,2395549,1035,8,0
20404,2395549,1036,9,0
20406,2395549,1038,10,0
20408,2395549,1038,11,0
20410,2395549,1040,12,0
20413,2395549,1041,13,0
20415,2395549,1042,14,0
20417,2395549,1042,15,0
20419,2395549,1044,16,0
20421,2395549,1045,17,0
20422,2395549,1046,18,0
20424,2395549,1047,19,0
20426,2395549,1048,20,0
20428,2395549,1048,21,0
21101,2395549,1049,22,0
20430,2395549,1051,23,0
20432,2395549,1052,24,0
20435,2395549,1052,25,0
20437,2395549,1054,26,0
21081,2395549,1054,27,0
20439,2395549,1055,28,0
20441,2395549,1057,29,0
20442,2395549,1058,30,1
20442,2395544,586,1,0
20440,2395544,587,2,0
20438,2395544,587,3,0
21080,2395544,588,4,0
20436,2395544,589,5,0
20434,2395544,590,6,0
20433,2395544,590,7,0
20431,2395544,592,8,0
21102,2395544,593,9,0
20429,2395544,593,10,0
20427,2395544,594,11,0
20425,2395544,595,12,0
20423,2395544,595,13,0
20420,2395544,596,14,0
20418,2395544,598,15,0
20416,2395544,599,16,0
20414,2395544,600,17,0
20412,2395544,601,18,0
20411,2395544,602,19,0
20409,2395544,602,20,0
20407,2395544,604,21,0
20405,2395544,604,22,0
20403,2395544,605,23,0
20401,2395544,606,24,0
20399,2395544,607,25,0
20397,2395544,608,26,0
20296,2395544,609,27,0
20292,2395544,611,28,0
21190,2395544,613,29,0
21189,2395544,615,30,0
20011,2395544,617,31,1
20442,2395545,654,1,0
20440,2395545,655,2,0
20438,2395545,655,3,0
21080,2395545,656,4,0
20436,2395545,657,5,0
20434,2395545,658,6,0
20433,2395545,658,7,0
20431,2395545,660,8,0
21102,2395545,661,9,0
20429,2395545,661,10,0
20427,2395545,662,11,0
20425,2395545,663,12,0
20423,2395545,663,13,0
20420,2395545,664,14,0
20418,2395545,666,15,0
20416,2395545,667,16,0
20414,2395545,668,17,0
20412,2395545,669,18,0
20411,2395545,670,19,0
20409,2395545,670,20,0
20407,2395545,672,21,0
20405,2395545,672,22,0
20403,2395545,673,23,0
20401,2395545,674,24,0
20399,2395545,675,25,0
20397,2395545,676,26,0
20296,2395545,677,27,0
20292,2395545,679,28,0
21190,2395545,681,29,0
21189,2395545,683,30,0
20011,2395545,685,31,1
20442,2395546,719,1,0
20440,2395546,720,2,0
20438,2395546,720,3,0
21080,2395546,721,4,0
20436,2395546,722,5,0
20434,2395546,723,6,0
20433,2395546,723,7,0
20431,2395546,725,8,0
21102,2395546,726,9,0
20429,2395546,727,10,0
20427,2395546,727,11,0
20425,2395546,729,12,0
20423,2395546,729,13,0
20420,2395546,730,14,0
20418,2395546,732,15,0
20416,2395546,733,16,0
20414,2395546,734,17,0
20412,2395546,735,18,0
20411,2395546,736,19,0
20409,2395546,736,20,0
20407,2395546,738,21,0
20405,2395546,738,22,0
20403,2395546,739,23,0
20401,2395546,740,24,0
20399,2395546,741,25,0
20397,2395546,742,26,0
20296,2395546,743,27,0
20292,2395546,745,28,0
21190,2395546,748,29,0
21189,2395546,751,30,0
20011,2395546,753,31,1
20410,2395547,731,1,0
20413,2395547,732,2,0
20415,2395547,733,3,0
20417,2395547,733,4,0
20419,2395547,735,5,0
20421,2395547,736,6,0
20422,2395547,737,7,0
20424,2395547,738,8,0
20426,2395547,739,9,0
20428,2395547,739,10,0
21101,2395547,740,11,0
20430,2395547,742,12,0
20432,2395547,743,13,0
20435,2395547,743,14,0
20437,2395547,744,15,0
21081,2395547,745,16,0
20439,2395547,746,17,0
20441,2395547,747,18,0
20442,2395547,748,19,1
20011,2395540,610,1,0
20110,2395540,613,2,0
21191,2395540,616,3,0
20295,2395540,621,4,0
20017,2395540,621,5,0
20398,2395540,622,6,0
20400,2395540,622,7,0
20402,2395540,623,8,0
20404,2395540,624,9,0
20406,2395540,625,10,0
20408,2395540,625,11,0
20410,2395540,627,12,0
20413,2395540,628,13,0
20415,2395540,629,14,0
20417,2395540,629,15,0
20419,2395540,631,16,0
20421,2395540,632,17,0
20422,2395540,633,18,0
20424,2395540,634,19,0
20426,2395540,635,20,0
20428,2395540,635,21,0
21101,2395540,636,22,0
20430,2395540,638,23,0
20432,2395540,638,24,0
20435,2395540,639,25,0
20437,2395540,640,26,0
21081,2395540,640,27,0
20439,2395540,641,28,0
20441,2395540,642,29,0
20442,2395540,643,30,1
20011,2395541,681,1,0
20110,2395541,684,2,0
21191,2395541,687,3,0
20295,2395541,692,4,0
20017,2395541,692,5,0
20398,2395541,693,6,0
20400,2395541,693,7,0
20402,2395541,694,8,0
20404,2395541,695,9,0
