arret_id,trajet_id,heure_depart,stop_sequence,terminus
21195,2348000,526,2,0
20639,2348000,527,3,0
21157,2348000,528,4,0
21155,2348000,531,5,0
21153,2348000,533,6,0
20810,2348000,535,7,1
21195,2348003,571,2,0
20639,2348003,572,3,0
21157,2348003,573,4,0
21155,2348003,576,5,0
21153,2348003,578,6,0
20810,2348003,580,7,1
21195,2348004,586,2,0
20639,2348004,587,3,0
21157,2348004,588,4,0
21155,2348004,591,5,0
21153,2348004,593,6,0
20810,2348004,595,7,1
21195,2348001,541,2,0
20639,2348001,542,3,0
21157,2348001,543,4,0
21155,2348001,546,5,0
21153,2348001,548,6,0
20810,2348001,550,7,1
21195,2348002,556,2,0
20639,2348002,557,3,0
21157,2348002,558,4,0
21155,2348002,561,5,0
21153,2348002,563,6,0
20810,2348002,565,7,1
21195,2348008,646,2,0
20639,2348008,647,3,0
21157,2348008,648,4,0
21155,2348008,651,5,0
21153,2348008,653,6,0
20810,2348008,655,7,1
21195,2348007,631,2,0
20639,2348007,632,3,0
21157,2348007,633,4,0
21155,2348007,636,5,0
21153,2348007,638,6,0
20810,2348007,640,7,1
21195,2348006,616,2,0
20639,2348006,617,3,0
21157,2348006,618,4,0
21155,2348006,621,5,0
21153,2348006,623,6,0
20810,2348006,625,7,1
21195,2348005,601,2,0
20639,2348005,602,3,0
21157,2348005,603,4,0
21155,2348005,606,5,0
21153,2348005,608,6,0
20810,2348005,610,7,1
21195,2348009,661,2,0
20639,2348009,662,3,0
21157,2348009,663,4,0
21155,2348009,666,5,0
21153,2348009,668,6,0
20810,2348009,670,7,1
21195,2348010,676,2,0
20639,2348010,677,3,0
21157,2348010,678,4,0
21155,2348010,681,5,0
21153,2348010,683,6,0
20810,2348010,685,7,1
21195,2348011,691,2,0
20639,2348011,692,3,0
21157,2348011,693,4,0
21155,2348011,696,5,0
21153,2348011,698,6,0
20810,2348011,700,7,1
21195,2348012,706,2,0
20639,2348012,707,3,0
21157,2348012,708,4,0
21155,2348012,711,5,0
21153,2348012,713,6,0
20810,2348012,715,7,1
21195,2348013,721,2,0
20639,2348013,722,3,0
21157,2348013,723,4,0
21155,2348013,726,5,0
21153,2348013,728,6,0
20810,2348013,730,7,1
21195,2348014,736,2,0
20639,2348014,737,3,0
21157,2348014,738,4,0
21155,2348014,741,5,0
21153,2348014,743,6,0
20810,2348014,745,7,1
21195,2348015,751,2,0
20639,2348015,752,3,0
21157,2348015,753,4,0
21155,2348015,756,5,0
21153,2348015,758,6,0
20810,2348015,760,7,1
21195,2348017,781,2,0
20639,2348017,782,3,0
21157,2348017,783,4,0
21155,2348017,786,5,0
21153,2348017,788,6,0
20810,2348017,790,7,1
21195,2348016,766,2,0
20639,2348016,767,3,0
21157,2348016,768,4,0
21155,2348016,771,5,0
21153,2348016,773,6,0
20810,2348016,775,7,1
21195,2348019,811,2,0
20639,2348019,812,3,0
21157,2348019,813,4,0
21155,2348019,816,5,0
21153,2348019,818,6,0
20810,2348019,820,7,1
21195,2348018,796,2,0
20639,2348018,797,3,0
21157,2348018,798,4,0
21155,2348018,801,5,0
21153,2348018,803,6,0
20810,2348018,805,7,1
21195,2348025,901,2,0
20639,2348025,902,3,0
21157,2348025,903,4,0
21155,2348025,906,5,0
21153,2348025,908,6,0
20810,2348025,910,7,1
21195,2348026,916,2,0
20639,2348026,917,3,0
21157,2348026,918,4,0
21155,2348026,921,5,0
21153,2348026,923,6,0
20810,2348026,925,7,1
21195,2348023,871,2,0
20639,2348023,872,3,0
21157,2348023,873,4,0
21155,2348023,876,5,0
21153,2348023,878,6,0
20810,2348023,880,7,1
21195,2348024,886,2,0
20639,2348024,887,3,0
21157,2348024,888,4,0
21155,2348024,891,5,0
21153,2348024,893,6,0
20810,2348024,895,7,1
21195,2348021,841,2,0
20639,2348021,842,3,0
21157,2348021,843,4,0
21155,2348021,846,5,0
21153,2348021,848,6,0
20810,2348021,850,7,1
21195,2348022,856,2,0
20639,2348022,857,3,0
21157,2348022,858,4,0
21155,2348022,861,5,0
21153,2348022,863,6,0
20810,2348022,865,7,1
21195,2348020,826,2,0
20639,2348020,827,3,0
21157,2348020,828,4,0
21155,2348020,831,5,0
21153,2348020,833,6,0
20810,2348020,835,7,1
21195,2348029,961,2,0
20639,2348029,962,3,0
21157,2348029,963,4,0
21155,2348029,966,5,0
21153,2348029,968,6,0
20810,2348029,970,7,1
21195,2348028,946,2,0
20639,2348028,947,3,0
21157,2348028,948,4,0
21155,2348028,951,5,0
21153,2348028,953,6,0
20810,2348028,955,7,1
21195,2348027,931,2,0
20639,2348027,932,3,0
21157,2348027,933,4,0
21155,2348027,936,5,0
21153,2348027,938,6,0
20810,2348027,940,7,1
21195,2348034,1036,2,0
20639,2348034,1037,3,0
21157,2348034,1038,4,0
21155,2348034,1041,5,0
21153,2348034,1043,6,0
20810,2348034,1045,7,1
21195,2348035,1051,2,0
20639,2348035,1052,3,0
21157,2348035,1053,4,0
21155,2348035,1056,5,0
21153,2348035,1058,6,0
20810,2348035,1060,7,1
21195,2348036,1066,2,0
20639,2348036,1067,3,0
21157,2348036,1068,4,0
21155,2348036,1071,5,0
21153,2348036,1073,6,0
20810,2348036,1075,7,1
21195,2348037,1081,2,0
20639,2348037,1082,3,0
21157,2348037,1083,4,0
21155,2348037,1086,5,0
21153,2348037,1088,6,0
20810,2348037,1090,7,1
21195,2348030,976,2,0
20639,2348030,977,3,0
21157,2348030,978,4,0
21155,2348030,981,5,0
21153,2348030,983,6,0
20810,2348030,985,7,1
21195,2348031,991,2,0
20639,2348031,992,3,0
21157,2348031,993,4,0
21155,2348031,996,5,0
21153,2348031,998,6,0
20810,2348031,1000,7,1
21195,2348032,1006,2,0
20639,2348032,1007,3,0
21157,2348032,1008,4,0
21155,2348032,1011,5,0
21153,2348032,1013,6,0
20810,2348032,1015,7,1
21195,2348033,1021,2,0
20639,2348033,1022,3,0
21157,2348033,1023,4,0
21155,2348033,1026,5,0
21153,2348033,1028,6,0
20810,2348033,1030,7,1
21195,2348038,1096,2,0
20639,2348038,1097,3,0
21157,2348038,1098,4,0
21155,2348038,1101,5,0
21153,2348038,1103,6,0
20810,2348038,1105,7,1
21195,1864816,661,2,0
20639,1864816,662,3,0
21157,1864816,663,4,0
21155,1864816,666,5,0
21153,1864816,668,6,0
20810,1864816,670,7,1
21195,1864817,676,2,0
20639,1864817,677,3,0
21157,1864817,678,4,0
21155,1864817,681,5,0
21153,1864817,683,6,0
20810,1864817,685,7,1
21195,1864818,691,2,0
20639,1864818,692,3,0
21157,1864818,693,4,0
21155,1864818,696,5,0
21153,1864818,698,6,0
20810,1864818,700,7,1
21195,1864819,706,2,0
20639,1864819,707,3,0
21157,1864819,708,4,0
21155,1864819,711,5,0
21153,1864819,713,6,0
20810,1864819,715,7,1
21195,1864810,571,2,0
20639,1864810,572,3,0
21157,1864810,573,4,0
21155,1864810,576,5,0
21153,1864810,578,6,0
20810,1864810,580,7,1
21195,1864811,586,2,0
20639,1864811,587,3,0
21157,1864811,588,4,0
21155,1864811,591,5,0
21153,1864811,593,6,0
20810,1864811,595,7,1
21195,1864812,601,2,0
20639,1864812,602,3,0
21157,1864812,603,4,0
21155,1864812,606,5,0
21153,1864812,608,6,0
20810,1864812,610,7,1
21195,1864813,616,2,0
20639,1864813,617,3,0
21157,1864813,618,4,0
21155,1864813,621,5,0
21153,1864813,623,6,0
20810,1864813,625,7,1
21195,1864814,631,2,0
20639,1864814,632,3,0
21157,1864814,633,4,0
21155,1864814,636,5,0
21153,1864814,638,6,0
20810,1864814,640,7,1
21195,1864815,646,2,0
20639,1864815,647,3,0
21157,1864815,648,4,0
21155,1864815,651,5,0
21153,1864815,653,6,0
20810,1864815,655,7,1
21195,1864829,856,2,0
20639,1864829,857,3,0
21157,1864829,858,4,0
21155,1864829,861,5,0
21153,1864829,863,6,0
20810,1864829,865,7,1
21195,1864827,826,2,0
20639,1864827,827,3,0
21157,1864827,828,4,0
21155,1864827,831,5,0
21153,1864827,833,6,0
20810,1864827,835,7,1
21195,1864828,841,2,0
20639,1864828,842,3,0
21157,1864828,843,4,0
21155,1864828,846,5,0
21153,1864828,848,6,0
20810,1864828,850,7,1
21195,1864821,736,2,0
20639,1864821,737,3,0
21157,1864821,738,4,0
21155,1864821,741,5,0
21153,1864821,743,6,0
20810,1864821,745,7,1
21195,1864822,751,2,0
20639,1864822,752,3,0
21157,1864822,753,4,0
21155,1864822,756,5,0
21153,1864822,758,6,0
20810,1864822,760,7,1
21195,1864820,721,2,0
20639,1864820,722,3,0
21157,1864820,723,4,0
21155,1864820,726,5,0
21153,1864820,728,6,0
20810,1864820,730,7,1
21195,1864825,796,2,0
20639,1864825,797,3,0
21157,1864825,798,4,0
21155,1864825,801,5,0
21153,1864825,803,6,0
20810,1864825,805,7,1
21195,1864826,811,2,0
20639,1864826,812,3,0
21157,1864826,813,4,0
21155,1864826,816,5,0
21153,1864826,818,6,0
20810,1864826,820,7,1
21195,1864823,766,2,0
20639,1864823,767,3,0
21157,1864823,768,4,0
21155,1864823,771,5,0
21153,1864823,773,6,0
20810,1864823,775,7,1
21195,1864824,781,2,0
20639,1864824,782,3,0
21157,1864824,783,4,0
21155,1864824,786,5,0
21153,1864824,788,6,0
20810,1864824,790,7,1
21195,1864838,991,2,0
20639,1864838,992,3,0
21157,1864838,993,4,0
21155,1864838,996,5,0
21153,1864838,998,6,0
20810,1864838,1000,7,1
21195,1864839,1006,2,0
20639,1864839,1007,3,0
21157,1864839,1008,4,0
21155,1864839,1011,5,0
21153,1864839,1013,6,0
20810,1864839,1015,7,1
21195,1864834,931,2,0
20639,1864834,932,3,0
21157,1864834,933,4,0
21155,1864834,936,5,0
21153,1864834,938,6,0
20810,1864834,940,7,1
21195,1864835,946,2,0
20639,1864835,947,3,0
21157,1864835,948,4,0
21155,1864835,951,5,0
21153,1864835,953,6,0
20810,1864835,955,7,1
21195,1864836,961,2,0
20639,1864836,962,3,0
21157,1864836,963,4,0
21155,1864836,966,5,0
21153,1864836,968,6,0
20810,1864836,970,7,1
21195,1864837,976,2,0
20639,1864837,977,3,0
21157,1864837,978,4,0
21155,1864837,981,5,0
21153,1864837,983,6,0
20810,1864837,985,7,1
21195,1864830,871,2,0
20639,1864830,872,3,0
21157,1864830,873,4,0
21155,1864830,876,5,0
21153,1864830,878,6,0
20810,1864830,880,7,1
21195,1864831,886,2,0
20639,1864831,887,3,0
21157,1864831,888,4,0
21155,1864831,891,5,0
21153,1864831,893,6,0
20810,1864831,895,7,1
21195,1864832,901,2,0
20639,1864832,902,3,0
21157,1864832,903,4,0
21155,1864832,906,5,0
21153,1864832,908,6,0
20810,1864832,910,7,1
21195,1864833,916,2,0
20639,1864833,917,3,0
21157,1864833,918,4,0
21155,1864833,921,5,0
21153,1864833,923,6,0
20810,1864833,925,7,1
21195,1864845,1096,2,0
20639,1864845,1097,3,0
21157,1864845,1098,4,0
21155,1864845,1101,5,0
21153,1864845,1103,6,0
20810,1864845,1105,7,1
21195,1864843,1066,2,0
20639,1864843,1067,3,0
21157,1864843,1068,4,0
21155,1864843,1071,5,0
21153,1864843,1073,6,0
20810,1864843,1075,7,1
21195,1864844,1081,2,0
20639,1864844,1082,3,0
21157,1864844,1083,4,0
21155,1864844,1086,5,0
21153,1864844,1088,6,0
20810,1864844,1090,7,1
21195,1864841,1036,2,0
20639,1864841,1037,3,0
21157,1864841,1038,4,0
21155,1864841,1041,5,0
21153,1864841,1043,6,0
20810,1864841,1045,7,1
21195,1864842,1051,2,0
20639,1864842,1052,3,0
21157,1864842,1053,4,0
21155,1864842,1056,5,0
21153,1864842,1058,6,0
20810,1864842,1060,7,1
21195,1864840,1021,2,0
20639,1864840,1022,3,0
21157,1864840,1023,4,0
21155,1864840,1026,5,0
21153,1864840,1028,6,0
20810,1864840,1030,7,1
21195,1864802,451,2,0
20639,1864802,452,3,0
21157,1864802,453,4,0
21155,1864802,456,5,0
21153,1864802,458,6,0
20810,1864802,460,7,1
21195,1864801,436,2,0
20639,1864801,437,3,0
21157,1864801,438,4,0
21155,1864801,441,5,0
21153,1864801,443,6,0
20810,1864801,445,7,1
21195,1864804,481,2,0
20639,1864804,482,3,0
21157,1864804,483,4,0
21155,1864804,486,5,0
21153,1864804,488,6,0
20810,1864804,490,7,1
21195,1864803,466,2,0
20639,1864803,467,3,0
21157,1864803,468,4,0
21155,1864803,471,5,0
21153,1864803,473,6,0
20810,1864803,475,7,1
21195,1864800,421,2,0
20639,1864800,422,3,0
21157,1864800,423,4,0
21155,1864800,426,5,0
21153,1864800,428,6,0
20810,1864800,430,7,1
21195,1864809,556,2,0
20639,1864809,557,3,0
21157,1864809,558,4,0
21155,1864809,561,5,0
21153,1864809,563,6,0
20810,1864809,565,7,1
21195,1864806,511,2,0
20639,1864806,512,3,0
21157,1864806,513,4,0
21155,1864806,516,5,0
21153,1864806,518,6,0
20810,1864806,520,7,1
21195,1864805,496,2,0
20639,1864805,497,3,0
21157,1864805,498,4,0
21155,1864805,501,5,0
21153,1864805,503,6,0
20810,1864805,505,7,1
21195,1864808,541,2,0
20639,1864808,542,3,0
21157,1864808,543,4,0
21155,1864808,546,5,0
21153,1864808,548,6,0
20810,1864808,550,7,1
21195,1864807,526,2,0
20639,1864807,527,3,0
21157,1864807,528,4,0
21155,1864807,531,5,0
21153,1864807,533,6,0
20810,1864807,535,7,1
21195,2389402,601,2,0
20639,2389402,602,3,0
21157,2389402,603,4,0
21155,2389402,606,5,0
21153,2389402,608,6,0
20810,2389402,610,7,1
21195,2389403,616,2,0
20639,2389403,617,3,0
21157,2389403,618,4,0
21155,2389403,621,5,0
21153,2389403,623,6,0
20810,2389403,625,7,1
21195,2389404,631,2,0
20639,2389404,632,3,0
21157,2389404,633,4,0
21155,2389404,636,5,0
21153,2389404,638,6,0
20810,2389404,640,7,1
21195,2389405,646,2,0
20639,2389405,647,3,0
21157,2389405,648,4,0
21155,2389405,651,5,0
21153,2389405,653,6,0
20810,2389405,655,7,1
21195,2389400,571,2,0
20639,2389400,572,3,0
21157,2389400,573,4,0
21155,2389400,576,5,0
21153,2389400,578,6,0
20810,2389400,580,7,1
21195,2389401,586,2,0
20639,2389401,587,3,0
21157,2389401,588,4,0
21155,2389401,591,5,0
21153,2389401,593,6,0
20810,2389401,595,7,1
21195,2389406,661,2,0
20639,2389406,662,3,0
21157,2389406,663,4,0
21155,2389406,666,5,0
21153,2389406,668,6,0
20810,2389406,670,7,1
21195,2389407,676,2,0
20639,2389407,677,3,0
21157,2389407,678,4,0
21155,2389407,681,5,0
21153,2389407,683,6,0
20810,2389407,685,7,1
21195,2389408,691,2,0
20639,2389408,692,3,0
21157,2389408,693,4,0
21155,2389408,696,5,0
21153,2389408,698,6,0
20810,2389408,700,7,1
21195,2389409,706,2,0
20639,2389409,707,3,0
21157,2389409,708,4,0
21155,2389409,711,5,0
21153,2389409,713,6,0
20810,2389409,715,7,1
21195,2389435,1096,2,0
20639,2389435,1097,3,0
21157,2389435,1098,4,0
21155,2389435,1101,5,0
21153,2389435,1103,6,0
20810,2389435,1105,7,1
21195,2389432,1051,2,0
20639,2389432,1052,3,0
21157,2389432,1053,4,0
21155,2389432,1056,5,0
21153,2389432,1058,6,0
20810,2389432,1060,7,1
21195,2389431,1036,2,0
20639,2389431,1037,3,0
21157,2389431,1038,4,0
21155,2389431,1041,5,0
21153,2389431,1043,6,0
20810,2389431,1045,7,1
21195,2389434,1081,2,0
20639,2389434,1082,3,0
21157,2389434,1083,4,0
21155,2389434,1086,5,0
21153,2389434,1088,6,0
20810,2389434,1090,7,1
21195,2389433,1066,2,0
20639,2389433,1067,3,0
21157,2389433,1068,4,0
21155,2389433,1071,5,0
21153,2389433,1073,6,0
20810,2389433,1075,7,1
21195,2389430,1021,2,0
20639,2389430,1022,3,0
21157,2389430,1023,4,0
21155,2389430,1026,5,0
21153,2389430,1028,6,0
20810,2389430,1030,7,1
21195,2389418,841,2,0
20639,2389418,842,3,0
21157,2389418,843,4,0
21155,2389418,846,5,0
21153,2389418,848,6,0
20810,2389418,850,7,1
21195,2389417,826,2,0
20639,2389417,827,3,0
21157,2389417,828,4,0
21155,2389417,831,5,0
21153,2389417,833,6,0
20810,2389417,835,7,1
21195,2389419,856,2,0
20639,2389419,857,3,0
21157,2389419,858,4,0
21155,2389419,861,5,0
21153,2389419,863,6,0
20810,2389419,865,7,1
21195,2389410,721,2,0
20639,2389410,722,3,0
21157,2389410,723,4,0
21155,2389410,726,5,0
21153,2389410,728,6,0
20810,2389410,730,7,1
21195,2389412,751,2,0
20639,2389412,752,3,0
21157,2389412,753,4,0
21155,2389412,756,5,0
21153,2389412,758,6,0
20810,2389412,760,7,1
21195,2389411,736,2,0
20639,2389411,737,3,0
21157,2389411,738,4,0
21155,2389411,741,5,0
21153,2389411,743,6,0
20810,2389411,745,7,1
21195,2389414,781,2,0
20639,2389414,782,3,0
21157,2389414,783,4,0
21155,2389414,786,5,0
21153,2389414,788,6,0
20810,2389414,790,7,1
21195,2389413,766,2,0
20639,2389413,767,3,0
21157,2389413,768,4,0
21155,2389413,771,5,0
21153,2389413,773,6,0
20810,2389413,775,7,1
21195,2389416,811,2,0
20639,2389416,812,3,0
21157,2389416,813,4,0
21155,2389416,816,5,0
21153,2389416,818,6,0
20810,2389416,820,7,1
21195,2389415,796,2,0
20639,2389415,797,3,0
21157,2389415,798,4,0
21155,2389415,801,5,0
21153,2389415,803,6,0
20810,2389415,805,7,1
21195,2389429,1006,2,0
20639,2389429,1007,3,0
21157,2389429,1008,4,0
21155,2389429,1011,5,0
21153,2389429,1013,6,0
20810,2389429,1015,7,1
21195,2389428,991,2,0
20639,2389428,992,3,0
21157,2389428,993,4,0
21155,2389428,996,5,0
21153,2389428,998,6,0
20810,2389428,1000,7,1
21195,2389423,916,2,0
20639,2389423,917,3,0
21157,2389423,918,4,0
21155,2389423,921,5,0
21153,2389423,923,6,0
20810,2389423,925,7,1
21195,2389422,901,2,0
20639,2389422,902,3,0
21157,2389422,903,4,0
21155,2389422,906,5,0
21153,2389422,908,6,0
20810,2389422,910,7,1
21195,2389421,886,2,0
20639,2389421,887,3,0
21157,2389421,888,4,0
21155,2389421,891,5,0
21153,2389421,893,6,0
20810,2389421,895,7,1
21195,2389420,871,2,0
20639,2389420,872,3,0
21157,2389420,873,4,0
21155,2389420,876,5,0
21153,2389420,878,6,0
20810,2389420,880,7,1
21195,2389427,976,2,0
20639,2389427,977,3,0
21157,2389427,978,4,0
21155,2389427,981,5,0
21153,2389427,983,6,0
20810,2389427,985,7,1
21195,2389426,961,2,0
20639,2389426,962,3,0
21157,2389426,963,4,0
21155,2389426,966,5,0
21153,2389426,968,6,0
20810,2389426,970,7,1
21195,2389425,946,2,0
20639,2389425,947,3,0
21157,2389425,948,4,0
21155,2389425,951,5,0
21153,2389425,953,6,0
20810,2389425,955,7,1
21195,2389424,931,2,0
20639,2389424,932,3,0
21157,2389424,933,4,0
21155,2389424,936,5,0
21153,2389424,938,6,0
20810,2389424,940,7,1
21195,2389378,931,2,0
20639,2389378,932,3,0
21157,2389378,933,4,0
21155,2389378,936,5,0
21153,2389378,938,6,0
20810,2389378,940,7,1
21195,2389379,946,2,0
20639,2389379,947,3,0
21157,2389379,948,4,0
21155,2389379,951,5,0
21153,2389379,953,6,0
20810,2389379,955,7,1
21195,2389376,901,2,0
20639,2389376,902,3,0
21157,2389376,903,4,0
21155,2389376,906,5,0
21153,2389376,908,6,0
20810,2389376,910,7,1
21195,2389377,916,2,0
20639,2389377,917,3,0
21157,2389377,918,4,0
21155,2389377,921,5,0
21153,2389377,923,6,0
20810,2389377,925,7,1
21195,2389375,886,2,0
20639,2389375,887,3,0
21157,2389375,888,4,0
21155,2389375,891,5,0
21153,2389375,893,6,0
20810,2389375,895,7,1
21195,2389374,871,2,0
20639,2389374,872,3,0
21157,2389374,873,4,0
21155,2389374,876,5,0
21153,2389374,878,6,0
20810,2389374,880,7,1
21195,2389373,856,2,0
20639,2389373,857,3,0
21157,2389373,858,4,0
21155,2389373,861,5,0
21153,2389373,863,6,0
20810,2389373,865,7,1
21195,2389372,841,2,0
20639,2389372,842,3,0
21157,2389372,843,4,0
21155,2389372,846,5,0
21153,2389372,848,6,0
20810,2389372,850,7,1
21195,2389371,826,2,0
20639,2389371,827,3,0
21157,2389371,828,4,0
21155,2389371,831,5,0
21153,2389371,833,6,0
20810,2389371,835,7,1
21195,2389370,811,2,0
20639,2389370,812,3,0
21157,2389370,813,4,0
21155,2389370,816,5,0
21153,2389370,818,6,0
20810,2389370,820,7,1
21195,2389387,1066,2,0
20639,2389387,1067,3,0
21157,2389387,1068,4,0
21155,2389387,1071,5,0
21153,2389387,1073,6,0
20810,2389387,1075,7,1
21195,2389388,1081,2,0
20639,2389388,1082,3,0
21157,2389388,1083,4,0
21155,2389388,1086,5,0
21153,2389388,1088,6,0
20810,2389388,1090,7,1
21195,2389389,1096,2,0
20639,2389389,1097,3,0
21157,2389389,1098,4,0
21155,2389389,1101,5,0
21153,2389389,1103,6,0
20810,2389389,1105,7,1
21195,2389384,1021,2,0
20639,2389384,1022,3,0
21157,2389384,1023,4,0
21155,2389384,1026,5,0
21153,2389384,1028,6,0
20810,2389384,1030,7,1
21195,2389383,1006,2,0
20639,2389383,1007,3,0
21157,2389383,1008,4,0
21155,2389383,1011,5,0
21153,2389383,1013,6,0
20810,2389383,1015,7,1
21195,2389386,1051,2,0
20639,2389386,1052,3,0
21157,2389386,1053,4,0
21155,2389386,1056,5,0
21153,2389386,1058,6,0
20810,2389386,1060,7,1
21195,2389385,1036,2,0
20639,2389385,1037,3,0
21157,2389385,1038,4,0
21155,2389385,1041,5,0
21153,2389385,1043,6,0
20810,2389385,1045,7,1
21195,2389380,961,2,0
20639,2389380,962,3,0
21157,2389380,963,4,0
21155,2389380,966,5,0
21153,2389380,968,6,0
20810,2389380,970,7,1
21195,2389382,991,2,0
20639,2389382,992,3,0
21157,2389382,993,4,0
21155,2389382,996,5,0
21153,2389382,998,6,0
20810,2389382,1000,7,1
21195,2389381,976,2,0
20639,2389381,977,3,0
21157,2389381,978,4,0
21155,2389381,981,5,0
21153,2389381,983,6,0
20810,2389381,985,7,1
21195,2389398,541,2,0
20639,2389398,542,3,0
21157,2389398,543,4,0
21155,2389398,546,5,0
21153,2389398,548,6,0
20810,2389398,550,7,1
21195,2389399,556,2,0
20639,2389399,557,3,0
21157,2389399,558,4,0
21155,2389399,561,5,0
21153,2389399,563,6,0
20810,2389399,565,7,1
21195,2389393,466,2,0
20639,2389393,467,3,0
21157,2389393,468,4,0
21155,2389393,471,5,0
21153,2389393,473,6,0
20810,2389393,475,7,1
21195,2389392,451,2,0
20639,2389392,452,3,0
21157,2389392,453,4,0
21155,2389392,456,5,0
21153,2389392,458,6,0
20810,2389392,460,7,1
21195,2389391,436,2,0
20639,2389391,437,3,0
21157,2389391,438,4,0
21155,2389391,441,5,0
21153,2389391,443,6,0
20810,2389391,445,7,1
21195,2389390,421,2,0
20639,2389390,422,3,0
21157,2389390,423,4,0
21155,2389390,426,5,0
21153,2389390,428,6,0
20810,2389390,430,7,1
21195,2389397,526,2,0
20639,2389397,527,3,0
21157,2389397,528,4,0
21155,2389397,531,5,0
21153,2389397,533,6,0
20810,2389397,535,7,1
21195,2389396,511,2,0
20639,2389396,512,3,0
21157,2389396,513,4,0
21155,2389396,516,5,0
21153,2389396,518,6,0
20810,2389396,520,7,1
21195,2389395,496,2,0
20639,2389395,497,3,0
21157,2389395,498,4,0
21155,2389395,501,5,0
21153,2389395,503,6,0
20810,2389395,505,7,1
21195,2389394,481,2,0
20639,2389394,482,3,0
21157,2389394,483,4,0
21155,2389394,486,5,0
21153,2389394,488,6,0
20810,2389394,490,7,1
21195,2389346,451,2,0
20639,2389346,452,3,0
21157,2389346,453,4,0
21155,2389346,456,5,0
21153,2389346,458,6,0
20810,2389346,460,7,1
21195,2389345,436,2,0
20639,2389345,437,3,0
21157,2389345,438,4,0
21155,2389345,441,5,0
21153,2389345,443,6,0
20810,2389345,445,7,1
21195,2389344,421,2,0
20639,2389344,422,3,0
21157,2389344,423,4,0
21155,2389344,426,5,0
21153,2389344,428,6,0
20810,2389344,430,7,1
21195,2389349,496,2,0
20639,2389349,497,3,0
21157,2389349,498,4,0
21155,2389349,501,5,0
21153,2389349,503,6,0
20810,2389349,505,7,1
21195,2389348,481,2,0
20639,2389348,482,3,0
21157,2389348,483,4,0
21155,2389348,486,5,0
21153,2389348,488,6,0
20810,2389348,490,7,1
21195,2389347,466,2,0
20639,2389347,467,3,0
21157,2389347,468,4,0
21155,2389347,471,5,0
21153,2389347,473,6,0
20810,2389347,475,7,1
21195,2389363,706,2,0
20639,2389363,707,3,0
21157,2389363,708,4,0
21155,2389363,711,5,0
21153,2389363,713,6,0
20810,2389363,715,7,1
21195,2389364,721,2,0
20639,2389364,722,3,0
21157,2389364,723,4,0
21155,2389364,726,5,0
21153,2389364,728,6,0
20810,2389364,730,7,1
21195,2389361,676,2,0
20639,2389361,677,3,0
21157,2389361,678,4,0
21155,2389361,681,5,0
21153,2389361,683,6,0
20810,2389361,685,7,1
21195,2389362,691,2,0
20639,2389362,692,3,0
21157,2389362,693,4,0
21155,2389362,696,5,0
21153,2389362,698,6,0
20810,2389362,700,7,1
21195,2389360,661,2,0
20639,2389360,662,3,0
21157,2389360,663,4,0
21155,2389360,666,5,0
21153,2389360,668,6,0
20810,2389360,670,7,1
21195,2389369,796,2,0
20639,2389369,797,3,0
21157,2389369,798,4,0
21155,2389369,801,5,0
