arret_id,trajet_id,heure_depart,stop_sequence,terminus
20103,2357858,1188,1,0
20846,2357858,1189,2,0
21109,2357858,1190,3,0
21106,2357858,1191,4,0
21104,2357858,1193,5,0
20832,2357858,1194,6,0
21171,2357858,1195,7,0
21186,2357858,1196,8,0
20831,2357858,1197,9,0
20845,2357858,1198,10,0
20829,2357858,1200,11,1
20829,2357851,1140,1,0
20844,2357851,1141,2,0
20830,2357851,1143,3,0
21185,2357851,1143,4,0
21170,2357851,1144,5,0
20833,2357851,1146,6,0
21105,2357851,1146,7,0
21107,2357851,1148,8,0
21108,2357851,1149,9,0
20847,2357851,1150,10,0
20103,2357851,1152,11,1
20103,2357850,1124,1,0
20846,2357850,1125,2,0
21109,2357850,1126,3,0
21106,2357850,1127,4,0
21104,2357850,1129,5,0
20832,2357850,1130,6,0
21171,2357850,1131,7,0
21186,2357850,1132,8,0
20831,2357850,1133,9,0
20845,2357850,1134,10,0
20829,2357850,1136,11,1
20829,2357853,1156,1,0
20844,2357853,1157,2,0
20830,2357853,1159,3,0
21185,2357853,1159,4,0
21170,2357853,1160,5,0
20833,2357853,1162,6,0
21105,2357853,1162,7,0
21107,2357853,1164,8,0
21108,2357853,1165,9,0
20847,2357853,1166,10,0
20103,2357853,1168,11,1
20103,2357852,1140,1,0
20846,2357852,1141,2,0
21109,2357852,1142,3,0
21106,2357852,1143,4,0
21104,2357852,1145,5,0
20832,2357852,1146,6,0
21171,2357852,1147,7,0
21186,2357852,1148,8,0
20831,2357852,1149,9,0
20845,2357852,1150,10,0
20829,2357852,1152,11,1
20829,2357855,1172,1,0
20844,2357855,1173,2,0
20830,2357855,1175,3,0
21185,2357855,1175,4,0
21170,2357855,1176,5,0
20833,2357855,1178,6,0
21105,2357855,1178,7,0
21107,2357855,1180,8,0
21108,2357855,1181,9,0
20847,2357855,1182,10,0
20103,2357855,1184,11,1
20103,2357854,1156,1,0
20846,2357854,1157,2,0
21109,2357854,1158,3,0
21106,2357854,1159,4,0
21104,2357854,1161,5,0
20832,2357854,1162,6,0
21171,2357854,1163,7,0
21186,2357854,1164,8,0
20831,2357854,1165,9,0
20845,2357854,1166,10,0
20829,2357854,1168,11,1
20829,2357857,1188,1,0
20844,2357857,1189,2,0
20830,2357857,1191,3,0
21185,2357857,1191,4,0
21170,2357857,1192,5,0
20833,2357857,1194,6,0
21105,2357857,1194,7,0
21107,2357857,1196,8,0
21108,2357857,1197,9,0
20847,2357857,1198,10,0
20103,2357857,1200,11,1
20103,2357856,1172,1,0
20846,2357856,1173,2,0
21109,2357856,1174,3,0
21106,2357856,1175,4,0
21104,2357856,1177,5,0
20832,2357856,1178,6,0
21171,2357856,1179,7,0
21186,2357856,1180,8,0
20831,2357856,1181,9,0
20845,2357856,1182,10,0
20829,2357856,1184,11,1
20829,2357849,1124,1,0
20844,2357849,1125,2,0
20830,2357849,1127,3,0
21185,2357849,1127,4,0
21170,2357849,1128,5,0
20833,2357849,1130,6,0
21105,2357849,1130,7,0
21107,2357849,1132,8,0
21108,2357849,1133,9,0
20847,2357849,1134,10,0
20103,2357849,1136,11,1
20103,2357848,1108,1,0
20846,2357848,1109,2,0
21109,2357848,1110,3,0
21106,2357848,1111,4,0
21104,2357848,1113,5,0
20832,2357848,1114,6,0
21171,2357848,1115,7,0
21186,2357848,1116,8,0
20831,2357848,1117,9,0
20845,2357848,1118,10,0
20829,2357848,1120,11,1
20829,2357847,1108,1,0
20844,2357847,1109,2,0
20830,2357847,1111,3,0
21185,2357847,1111,4,0
21170,2357847,1112,5,0
20833,2357847,1114,6,0
21105,2357847,1114,7,0
21107,2357847,1116,8,0
21108,2357847,1117,9,0
20847,2357847,1118,10,0
20103,2357847,1120,11,1
20103,2357846,1092,1,0
20846,2357846,1093,2,0
21109,2357846,1094,3,0
21106,2357846,1095,4,0
21104,2357846,1097,5,0
20832,2357846,1098,6,0
21171,2357846,1099,7,0
21186,2357846,1100,8,0
20831,2357846,1101,9,0
20845,2357846,1102,10,0
20829,2357846,1104,11,1
20829,2357845,1092,1,0
20844,2357845,1093,2,0
20830,2357845,1095,3,0
21185,2357845,1095,4,0
21170,2357845,1096,5,0
20833,2357845,1098,6,0
21105,2357845,1098,7,0
21107,2357845,1100,8,0
21108,2357845,1101,9,0
20847,2357845,1102,10,0
20103,2357845,1104,11,1
20103,2357844,1076,1,0
20846,2357844,1077,2,0
21109,2357844,1078,3,0
21106,2357844,1079,4,0
21104,2357844,1081,5,0
20832,2357844,1082,6,0
21171,2357844,1083,7,0
21186,2357844,1084,8,0
20831,2357844,1085,9,0
20845,2357844,1086,10,0
20829,2357844,1088,11,1
20829,2357843,1076,1,0
20844,2357843,1077,2,0
20830,2357843,1079,3,0
21185,2357843,1079,4,0
21170,2357843,1080,5,0
20833,2357843,1082,6,0
21105,2357843,1082,7,0
21107,2357843,1084,8,0
21108,2357843,1085,9,0
20847,2357843,1086,10,0
20103,2357843,1088,11,1
20103,2357842,1060,1,0
20846,2357842,1061,2,0
21109,2357842,1062,3,0
21106,2357842,1063,4,0
21104,2357842,1065,5,0
20832,2357842,1066,6,0
21171,2357842,1067,7,0
21186,2357842,1068,8,0
20831,2357842,1069,9,0
20845,2357842,1070,10,0
20829,2357842,1072,11,1
20829,2357841,1060,1,0
20844,2357841,1061,2,0
20830,2357841,1063,3,0
21185,2357841,1063,4,0
21170,2357841,1064,5,0
20833,2357841,1066,6,0
21105,2357841,1066,7,0
21107,2357841,1068,8,0
21108,2357841,1069,9,0
20847,2357841,1070,10,0
20103,2357841,1072,11,1
20103,2357840,1044,1,0
20846,2357840,1045,2,0
21109,2357840,1046,3,0
21106,2357840,1047,4,0
21104,2357840,1049,5,0
20832,2357840,1050,6,0
21171,2357840,1051,7,0
21186,2357840,1052,8,0
